name,time,CO2eq,TVOC,dust_LPO_percentage,dust_LPO_time,dust_concentration,humidity,location,sensor_name,tVOC,temperature
sensor_data,1691616955327298844,400,,,,,66,Living_Room,Temperature_Humidity_Sensor,0,24
sensor_data,1691618155761633020,440,,,,,66,Living_Room,Temperature_Humidity_Sensor,0,24
sensor_data,1691619356383339714,400,,,,,65,Living_Room,Temperature_Humidity_Sensor,0,24
sensor_data,1691620557123409453,400,,,,,66,Living_Room,Temperature_Humidity_Sensor,0,24
sensor_data,1691621757678415497,400,,,,,67,Living_Room,Temperature_Humidity_Sensor,0,24
sensor_data,1691622958257910598,400,,,,,68,Living_Room,Temperature_Humidity_Sensor,0,24
sensor_data,1691624158832778408,400,,,,,69,Living_Room,Temperature_Humidity_Sensor,0,24
sensor_data,1691625360011667710,400,,,,,69,Living_Room,Temperature_Humidity_Sensor,0,23
sensor_data,1691626560337373374,400,,,,,69,Living_Room,Temperature_Humidity_Sensor,0,23
sensor_data,1691627760861032493,400,,,,,68,Living_Room,Temperature_Humidity_Sensor,0,23
sensor_data,1691628961123335704,400,,,,,68,Living_Room,Temperature_Humidity_Sensor,0,23
sensor_data,1691630163390046779,400,,,,,68,Living_Room,Temperature_Humidity_Sensor,0,23
sensor_data,1691631365799432524,400,,,,,68,Living_Room,Temperature_Humidity_Sensor,0,23
sensor_data,1691632566489329878,400,,,,,68,Living_Room,Temperature_Humidity_Sensor,0,23
sensor_data,1691633766660316726,422,,,,,68,Living_Room,Temperature_Humidity_Sensor,0,23
sensor_data,1691634967198390509,400,,,,,69,Living_Room,Temperature_Humidity_Sensor,0,23
sensor_data,1691636167548330304,400,,,,,68,Living_Room,Temperature_Humidity_Sensor,0,23
sensor_data,1691637368006370889,400,,,,,69,Living_Room,Temperature_Humidity_Sensor,0,23
sensor_data,1691638569190223448,400,,,,,69,Living_Room,Temperature_Humidity_Sensor,0,23
sensor_data,1691639769655043135,400,,,,,69,Living_Room,Temperature_Humidity_Sensor,0,23
sensor_data,1691640969887729303,400,,,,,69,Living_Room,Temperature_Humidity_Sensor,0,23
sensor_data,1691642170477262154,400,,,,,68,Living_Room,Temperature_Humidity_Sensor,0,23
sensor_data,1691643370973110315,400,,,,,70,Living_Room,Temperature_Humidity_Sensor,0,22
